anio,semana,localidad,hembras_ovigeras,adultos_moviles,juveniles,temperatura,salinidad,pais,estacion,parasitos_totales,centro,region,indice_temporal
2016,8,110758,2.92,2.97,2.38,13.821,33.379,Chile,Verano,8.27,cargas_parasitarias_chile_110758_piojos_temp_sal_2014_2024_con_estacion_y_totales,Aysén,112
2016,9,110758,3.83,6.38,2.17,14.087,33.259,Chile,Verano,12.38,cargas_parasitarias_chile_110758_piojos_temp_sal_2014_2024_con_estacion_y_totales,Aysén,113
2016,10,110758,4.1,4.38,4.5,12.562,33.436,Chile,Verano,12.98,cargas_parasitarias_chile_110758_piojos_temp_sal_2014_2024_con_estacion_y_totales,Aysén,114
2016,11,110758,4.32,3.8,4.32,12.145,33.467,Chile,Verano,12.44,cargas_parasitarias_chile_110758_piojos_temp_sal_2014_2024_con_estacion_y_totales,Aysén,115
2016,12,110758,4.22,4.53,4.07,11.952,33.495,Chile,Verano,12.82,cargas_parasitarias_chile_110758_piojos_temp_sal_2014_2024_con_estacion_y_totales,Aysén,116
2016,13,110758,2.75,3.0,2.1,12.637,33.342,Chile,Verano,7.85,cargas_parasitarias_chile_110758_piojos_temp_sal_2014_2024_con_estacion_y_totales,Aysén,117
2016,14,110758,3.55,3.15,2.13,12.346,33.25,Chile,Otoño,8.829999999999998,cargas_parasitarias_chile_110758_piojos_temp_sal_2014_2024_con_estacion_y_totales,Aysén,118
2016,15,110758,0.0,0.0,0.3,11.757,33.289,Chile,Otoño,0.3,cargas_parasitarias_chile_110758_piojos_temp_sal_2014_2024_con_estacion_y_totales,Aysén,119
2016,16,110758,0.0,0.08,0.22,10.961,33.309,Chile,Otoño,0.3,cargas_parasitarias_chile_110758_piojos_temp_sal_2014_2024_con_estacion_y_totales,Aysén,120
2016,17,110758,0.05,0.28,0.43,10.791,33.12,Chile,Otoño,0.76,cargas_parasitarias_chile_110758_piojos_temp_sal_2014_2024_con_estacion_y_totales,Aysén,121
2016,18,110758,0.22,0.35,0.52,10.782,32.867,Chile,Otoño,1.09,cargas_parasitarias_chile_110758_piojos_temp_sal_2014_2024_con_estacion_y_totales,Aysén,122
2016,19,110758,1.2,0.77,1.73,10.847,32.691,Chile,Otoño,3.7,cargas_parasitarias_chile_110758_piojos_temp_sal_2014_2024_con_estacion_y_totales,Aysén,123
2016,20,110758,2.05,1.95,2.13,10.617,32.633,Chile,Otoño,6.13,cargas_parasitarias_chile_110758_piojos_temp_sal_2014_2024_con_estacion_y_totales,Aysén,124
2016,21,110758,2.35,2.8,1.8,10.103,32.72,Chile,Otoño,6.95,cargas_parasitarias_chile_110758_piojos_temp_sal_2014_2024_con_estacion_y_totales,Aysén,125
2016,22,110758,2.5,3.2,5.1,9.909,32.781,Chile,Otoño,10.8,cargas_parasitarias_chile_110758_piojos_temp_sal_2014_2024_con_estacion_y_totales,Aysén,126
2016,23,110758,0.0,0.0,0.4,9.676,32.947,Chile,Otoño,0.4,cargas_parasitarias_chile_110758_piojos_temp_sal_2014_2024_con_estacion_y_totales,Aysén,127
2016,24,110758,0.15,0.22,0.57,9.592,32.953,Chile,Otoño,0.94,cargas_parasitarias_chile_110758_piojos_temp_sal_2014_2024_con_estacion_y_totales,Aysén,128
2016,25,110758,0.35,0.43,0.45,9.402,32.937,Chile,Otoño,1.23,cargas_parasitarias_chile_110758_piojos_temp_sal_2014_2024_con_estacion_y_totales,Aysén,129
2016,26,110758,0.63,0.63,0.68,9.235,32.929,Chile,Otoño,1.94,cargas_parasitarias_chile_110758_piojos_temp_sal_2014_2024_con_estacion_y_totales,Aysén,130
2016,27,110758,0.65,0.82,1.3,9.247,32.911,Chile,Invierno,2.77,cargas_parasitarias_chile_110758_piojos_temp_sal_2014_2024_con_estacion_y_totales,Aysén,131
2016,28,110758,0.85,0.95,1.38,9.263,32.838,Chile,Invierno,3.18,cargas_parasitarias_chile_110758_piojos_temp_sal_2014_2024_con_estacion_y_totales,Aysén,132
2016,29,110758,1.73,1.65,1.95,9.32,32.986,Chile,Invierno,5.33,cargas_parasitarias_chile_110758_piojos_temp_sal_2014_2024_con_estacion_y_totales,Aysén,133
2016,30,110758,2.33,2.75,1.88,9.201,32.9,Chile,Invierno,6.96,cargas_parasitarias_chile_110758_piojos_temp_sal_2014_2024_con_estacion_y_totales,Aysén,134
2016,31,110758,2.4,3.6,2.2,9.389,32.967,Chile,Invierno,8.2,cargas_parasitarias_chile_110758_piojos_temp_sal_2014_2024_con_estacion_y_totales,Aysén,135
2016,32,110758,,,,9.489,33.0,Chile,Invierno,,cargas_parasitarias_chile_110758_piojos_temp_sal_2014_2024_con_estacion_y_totales,Aysén,136
2016,33,110758,,,,9.285,32.877,Chile,Invierno,,cargas_parasitarias_chile_110758_piojos_temp_sal_2014_2024_con_estacion_y_totales,Aysén,137
2016,34,110758,,,,9.4,32.913,Chile,Invierno,,cargas_parasitarias_chile_110758_piojos_temp_sal_2014_2024_con_estacion_y_totales,Aysén,138
