año,semana,localidad,hembras_ovigeras,adultos_moviles,juveniles
2023,50,32677,0.09,0.09,0.02
2023,51,32677,0.0,0.07,0.09
2023,52,32677,0.01,0.07,0.09
2024,1,32677,0.0,0.23,0.04
2024,2,32677,0.0,0.41,0.03
2024,3,32677,0.07,0.46,0.11
2024,4,32677,0.06,0.56,0.03
2024,5,32677,0.24,0.59,0.05
2024,6,32677,0.21,0.46,0.08
2024,7,32677,0.3,0.46,0.06
2024,8,32677,0.49,0.48,0.12
2024,9,32677,0.31,0.4,0.09
2024,10,32677,0.0,0.0,0.0
2024,11,32677,0.04,0.02,0.0
2024,12,32677,0.04,0.02,0.02
2024,13,32677,0.02,0.02,0.0
2024,14,32677,0.02,0.03,0.07
2024,15,32677,0.02,0.05,0.11
2024,16,32677,0.01,0.06,0.11
2024,17,32677,0.02,0.18,0.17
2024,18,32677,0.01,0.56,0.32
2024,19,32677,0.03,0.89,0.28
2024,20,32677,0.12,1.12,0.22
2024,21,32677,0.15,0.84,0.3
2024,22,32677,0.16,0.29,0.04
2024,23,32677,0.21,0.37,0.03
2024,24,32677,0.21,0.79,0.27
2024,25,32677,0.44,2.82,0.51
2024,26,32677,0.31,1.36,0.42
2024,27,32677,0.37,1.93,1.17
2024,28,32677,0.38,2.17,1.16
2024,29,32677,0.2,0.65,0.29
2024,30,32677,0.47,2.52,0.14
2024,31,32677,0.14,0.27,0.04
2024,32,32677,0.48,1.83,0.48
2024,33,32677,1.75,5.61,0.53
2024,34,32677,4.62,6.81,0.23
2024,35,32677,0.49,0.64,0.05
2024,36,32677,,,
2024,37,32677,,,
2024,38,32677,,,
2024,39,32677,,,
2024,40,32677,,,
2024,41,32677,,,
2024,42,32677,,,
2024,43,32677,,,
2024,44,32677,,,
2024,45,32677,,,
2024,46,32677,,,
2024,47,32677,,,
2024,48,32677,,,
2024,49,32677,,,
2024,50,32677,,,
2024,51,32677,,,
2024,52,32677,,,
