pais,zona,localidad,anio,semana,anio_objetivo,semana_objetivo,parasitos_totales,parasitos_totales_t1,prediccion_rf,error_rf,error_abs_rf
Chile,Los Lagos,102424,2024,12,2024.0,13.0,6.3,7.529999999999999,5.676717162698413,1.8532828373015864,1.8532828373015864
Chile,Los Lagos,102424,2024,13,2024.0,14.0,7.529999999999999,7.279999999999999,6.860899384920637,0.4191006150793628,0.4191006150793628
Chile,Los Lagos,102424,2024,14,2024.0,15.0,7.279999999999999,7.62,7.307702425595238,0.312297574404762,0.312297574404762
Chile,Los Lagos,102424,2024,15,2024.0,16.0,7.62,5.21,7.812776626984134,-2.6027766269841344,2.6027766269841344
Chile,Los Lagos,102424,2024,16,2024.0,17.0,5.21,6.48,6.2296428814935085,0.2503571185064919,0.2503571185064919
Chile,Los Lagos,102424,2024,17,2024.0,18.0,6.48,6.720000000000001,6.44967145292209,0.2703285470779102,0.2703285470779102
Chile,Los Lagos,102424,2024,18,2024.0,19.0,6.720000000000001,7.41,7.108182242063504,0.30181775793649646,0.30181775793649646
Chile,Los Lagos,102424,2024,19,2024.0,20.0,7.41,8.799999999999999,7.498653645833335,1.3013463541666637,1.3013463541666637
Chile,Los Lagos,102424,2024,20,2024.0,21.0,8.799999999999999,8.44,8.423718888888883,0.016281111111116076,0.016281111111116076
Chile,Los Lagos,102424,2024,21,2024.0,22.0,8.44,9.86,8.82323854662697,1.03676145337303,1.03676145337303
Chile,Los Lagos,102424,2024,22,2024.0,23.0,9.86,10.33,8.709845332341258,1.620154667658742,1.620154667658742
Chile,Los Lagos,102424,2024,23,2024.0,24.0,10.33,11.16,8.159590448683264,3.0004095513167357,3.0004095513167357
Chile,Los Lagos,102424,2024,24,2024.0,25.0,11.16,2.43,8.183167018849206,-5.753167018849206,5.753167018849206
Chile,Los Lagos,102424,2024,25,2024.0,26.0,2.43,2.3,5.2714057936508025,-2.9714057936508027,2.9714057936508027
Chile,Los Lagos,102424,2024,26,2024.0,27.0,2.3,3.84,4.308526309523814,-0.46852630952381435,0.46852630952381435
Chile,Los Lagos,102424,2024,27,2024.0,28.0,3.84,4.83,5.668553462301595,-0.8385534623015953,0.8385534623015953
Chile,Los Lagos,102424,2024,28,2024.0,29.0,4.83,6.1,5.056009747023811,1.0439902529761884,1.0439902529761884
Chile,Los Lagos,102424,2024,29,2024.0,30.0,6.1,6.65,5.566760992063487,1.0832390079365135,1.0832390079365135
Chile,Aysén,110758,2022,52,2023.0,1.0,4.42,9.28,5.804524388528147,3.475475611471852,3.475475611471852
Chile,Aysén,110758,2023,1,2023.0,2.0,9.28,4.949999999999999,7.900755332341279,-2.95075533234128,2.95075533234128
Chile,Aysén,110758,2023,2,2023.0,3.0,4.949999999999999,7.08,6.360456304563493,0.7195436954365073,0.7195436954365073
Chile,Aysén,110758,2023,3,2023.0,4.0,7.08,3.33,7.205166388888899,-3.875166388888899,3.875166388888899
Chile,Aysén,110758,2023,4,2023.0,5.0,3.33,7.999999999999999,6.055483962391785,1.9445160376082145,1.9445160376082145
Chile,Aysén,110758,2023,5,2023.0,6.0,7.999999999999999,4.39,7.556596113365804,-3.166596113365804,3.166596113365804
Chile,Aysén,110758,2023,6,2023.0,7.0,4.39,7.029999999999999,7.31479846636004,-0.2847984663600407,0.2847984663600407
Chile,Aysén,110758,2023,7,2023.0,8.0,7.029999999999999,4.84,6.7322352155483545,-1.8922352155483546,1.8922352155483546
Chile,Aysén,110758,2023,8,2023.0,9.0,4.84,5.34,7.506068437500013,-2.166068437500013,2.166068437500013
Chile,Aysén,110758,2023,9,2023.0,10.0,5.34,6.98,5.5581579283910525,1.421842071608948,1.421842071608948
Chile,Aysén,110758,2023,10,2023.0,11.0,6.98,6.21,6.934920039231603,-0.7249200392316029,0.7249200392316029
Chile,Aysén,110758,2023,11,2023.0,12.0,6.21,4.52,6.884168377976193,-2.3641683779761937,2.3641683779761937
Chile,Aysén,110758,2023,12,2023.0,13.0,4.52,4.84,6.36637641819986,-1.5263764181998605,1.5263764181998605
Chile,Aysén,110758,2023,13,2023.0,14.0,4.84,5.35,6.370688272005778,-1.0206882720057786,1.0206882720057786
Chile,Aysén,110758,2024,19,2024.0,20.0,0.93,0.33,1.0798688194444446,-0.7498688194444445,0.7498688194444445
Chile,Aysén,110758,2024,20,2024.0,21.0,0.33,0.9,0.9527017234848484,-0.05270172348484836,0.05270172348484836
Chile,Aysén,110758,2024,21,2024.0,22.0,0.9,0.4399999999999999,1.3159537351190482,-0.8759537351190483,0.8759537351190483
Chile,Aysén,110758,2024,22,2024.0,23.0,0.4399999999999999,2.85,0.9711590823412702,1.8788409176587297,1.8788409176587297
