pais,zona,localidad,anio,semana,anio_objetivo,semana_objetivo,parasitos_totales,parasitos_totales_t1,prediccion_rf,error_rf,error_abs_rf
Chile,Aysén,110758,2024,28,2024.0,29.0,1.62,0.84,2.9072527331349236,-2.0672527331349237,2.0672527331349237
Chile,Aysén,110758,2024,29,2024.0,30.0,0.84,2.8,1.9276265873015874,0.8723734126984124,0.8723734126984124
Chile,Magallanes,120128,2022,52,2023.0,1.0,0.0,0.0,0.0006587202380952382,-0.0006587202380952382,0.0006587202380952382
Chile,Magallanes,120128,2023,1,2023.0,2.0,0.0,0.0,0.0013622916666666668,-0.0013622916666666668,0.0013622916666666668
Chile,Magallanes,120128,2023,2,2023.0,3.0,0.0,0.0,0.00015458333333333331,-0.00015458333333333331,0.00015458333333333331
Chile,Magallanes,120128,2023,3,2023.0,4.0,0.0,0.0,0.00027875,-0.00027875,0.00027875
Chile,Magallanes,120128,2023,4,2023.0,5.0,0.0,0.0,0.002115,-0.002115,0.002115
Chile,Magallanes,120128,2023,5,2023.0,6.0,0.0,0.06,0.0008664583333333337,0.059133541666666664,0.059133541666666664
Chile,Magallanes,120128,2023,6,2023.0,7.0,0.06,0.03,0.09022148223304467,-0.060221482233044674,0.060221482233044674
Chile,Magallanes,120128,2023,7,2023.0,8.0,0.03,0.16,0.08798367469336224,0.07201632530663776,0.07201632530663776
Chile,Magallanes,120128,2023,8,2023.0,9.0,0.16,0.08,0.19677700892857164,-0.11677700892857164,0.11677700892857164
Chile,Magallanes,120128,2023,9,2023.0,10.0,0.08,0.18,0.1828836165223665,-0.0028836165223665167,0.0028836165223665167
Chile,Magallanes,120128,2023,10,2023.0,11.0,0.18,0.18,0.2202709226190476,-0.040270922619047606,0.040270922619047606
Chile,Magallanes,120128,2023,11,2023.0,12.0,0.18,0.08,0.25012477723665233,-0.1701247772366523,0.1701247772366523
Chile,Magallanes,120128,2023,12,2023.0,13.0,0.08,0.35,0.24603829365079374,0.10396170634920623,0.10396170634920623
Chile,Magallanes,120128,2023,13,2023.0,14.0,0.35,0.51,0.42568321428571404,0.08431678571428597,0.08431678571428597
Chile,Magallanes,120128,2023,14,2023.0,15.0,0.51,0.57,0.5338608933080817,0.03613910669191822,0.03613910669191822
Chile,Magallanes,120128,2023,15,2023.0,16.0,0.57,0.65,0.7800533730158731,-0.13005337301587305,0.13005337301587305
Chile,Magallanes,120128,2023,16,2023.0,17.0,0.65,0.73,0.9599145882936512,-0.2299145882936512,0.2299145882936512
Chile,Magallanes,120128,2023,17,2023.0,18.0,0.73,0.67,0.989275279130591,-0.31927527913059095,0.31927527913059095
Chile,Magallanes,120128,2023,18,2023.0,19.0,0.67,2.35,0.9470609983766234,1.4029390016233767,1.4029390016233767
Chile,Magallanes,120128,2023,19,2023.0,20.0,2.35,3.03,2.4507257242063507,0.5792742757936491,0.5792742757936491
